review,rating,sentimen,review_clean
Excelleny quality.. ? Very accomodating seller.. ? Well-packaged.. ? Item shipped immediately.. ? Will order again.. ? Thank you seller.. ????,5.0,positif,excelleny quality accomodating seller well packaged item shipped immediately order thank seller
"2x already bought here and always satisfied softlensnya also original, very fast delivery of contact lenses just because minus have to wait but its okey",4.0,positif,already bought always satisfied softlensnya also original fast delivery contact lenses minus wait okey
"already buying into 2 Fast shipping, packing her cakes potluck thank God not ancur ........",5.0,positif,already buying fast shipping packing cakes potluck thank god not hancur
Okay boss thx teruss yesss,5.0,positif,okay boss thx teruss yes
rasanya enak banget......,5.0,positif,rasa enak banget
Product quality standards,2.0,negatif,product quality standards
"produk sesuai dengan deskripsi.
cuma pengiriman agak terlambat.",5.0,positif,produk sesuai deskripsi cuma kirim lambat
Rogue traders goods are not sent,1.0,negatif,rogue traders goods not sent
"toys can not be at Cas, goods diteima afternoon, immediately opened, then in charge, but the dead continues. so toys can not be played, when only AFTER DIPEBAIKI few can be played,",2.0,negatif,toys not cas goods diteima afternoon immediately opened charge dead continues toys not played baik played
Disappointed by the courier. ,1.0,negatif,disappointed courier
Very nice. Just be a bit thin wrote danger .. Match the price was ??????,4.0,positif,nice bit thin wrote danger match price
Excellent quality. Very accommodating seller. Thank you. The power and discretion of the seller po. Each process updating po ako. We liked the cousin ko po.,4.0,positif,excellent quality accommodating seller thank power discretion seller po process updating po ako liked cousin ko po
"Some rusty goods, becomes less satisfactory with this purchase, please sellers do not love the goods to the buyer NG, repair again quality level of sales. thanks.",1.0,negatif,rusty goods becomes less satisfactory purchase please sellers not love goods buyer ng repair quality level sales thanks
item arrives in good condition ... TQ ?? the free gift which let d ... TQ saller,5.0,positif,item arrives good condition tq free gift let tq saller
Received the items! All are in good condition and complete. Shipped immediately. Love the items will order soon. Thank you seller!,4.0,positif,received items good condition complete shipped immediately love items order soon thank seller
The product quality is not good. according guns careful aja,1.0,negatif,product quality not good according guns careful aja
"   Pomfret lid safely. Order yesterday, today got. ??. Cain was good, cold n flowy. Near the website already sold out. Ability to purchase sustenance here.",4.0,positif,pomfret lid safely order yesterday today got cain good cold flowy near website already sold ability purchase sustenance
Has been completed This cover Lovely Very cheap It takes a little longer for delivery. good Advice ????????????????????????????????????????????????????,5.0,positif,completed cover lovely cheap takes little longer delivery good advice
"Oki ...... ............, ..... Jjjbgujvhkbgojghkbgkjgihgv",4.0,positif,oki jbgujvhkbgojghkbgkjgihgv
"Delivery time below expectation. Should clarify ready stock means ready stock in China, not Malaysia. However product is good. ",1.0,negatif,delivery time expectation clarify ready stock means ready stock china not malaysia however product good
"with himolmol like glue and melted, the viscosity, kakahiya in buying, hope next time thorough checking, thanks",2.0,negatif,himolmol like glue melted viscosity kakahiya buying hope next time thorough checking thanks
"Rapid response, fast delivery, goods received good no defects at all, his material awful for wear, Thank you.",4.0,positif,rapid response fast delivery goods received good no defects material awful wear thank
The picture is less tidy,2.0,negatif,picture less tidy
Love it!! Tq!!,5.0,positif,love tq
snack wfh,5.0,positif,snack wfh
"for you who want to buy, mending do here lah. I learned my lesson, and loss. The first photo request video send to WA, I send complete, videos and lists of groceries, according to them, eh haha ??ga processed, then appeared lg command in the second photo. so basically want you videoin also ga will be compensated",1.0,negatif,want buy mending lah learned lesson loss first photo request video send wa send complete videos lists groceries according eh haha tidak processed appeared lg command second photo basically want videoin also tidak compensated
"Exceptional freight lamaa beginning ,,,, should be notified if you must first ,, PO berbelit2 answer when asked and responses old jg ,, if the quality is good stuff and I was satisfied but I was very disappointed with the delivery ....",2.0,negatif,exceptional freight lamaa beginning notified must first po belit answer asked responses old jg quality good stuff satisfied disappointed delivery
"I've waited too long! But I have carved sculptures of cows before she nashift! Then when it finally arrived persuade !! I ordered gray and brown, but both gray then close the other one yet !!! Yah it's cheap but not worth it!",1.0,negatif,waited long carved sculptures cows nashift finally arrived persuade ordered gray brown gray close one yet yah cheap not worth
Poor value for money Speed ??of delivery Poor.,1.0,negatif,poor value money speed delivery poor
"Pesen middle Malem, afternoon fitting home office already exists in the house .. All flame there's nothing broken, all normal, good packaging ga asal2an, I bought 17 items ga no less .. Buy pas promo (partial discount of 90%), although cheap but could not reduce the quality of service .. VERY RECOMMENDED SELLER ..! !",4.0,positif,sen middle malem afternoon fitting home office already exists house flame nothing broken normal good packaging tidak asal bought items tidak no less buy pas promo partial discount although cheap could not reduce quality service recommended seller
item is different from manual,1.0,negatif,item different manual
Good quality ... visor is also clear ... waiting for more color products well .. thank you.,5.0,positif,good quality visor also clear waiting color products well thank
"Not according to expectations, with a well giraffes to look like a dragon.",2.0,negatif,not according expectations well giraffes look like dragon
Ssuai goods prices. Very good seller response but slow delivery. Pay Friday afternoon Monday expelled with ash falling. Packing quite safe,1.0,negatif,ssuai goods prices good seller response slow delivery pay friday afternoon monday expelled ash falling packing quite safe
Yes passable nice lah,2.0,negatif,yes passable nice lah
Small anyway but I like the overlay,2.0,negatif,small anyway like overlay
Very good value Speed ??of delivery is very good.,4.0,positif,good value speed delivery good
Size a bit smaller than standard size.,2.0,negatif,size bit smaller standard size
Bagusssss bgttttt Hopefully real waterprof,4.0,positif,bagus banget hopefully real waterprof
"Fully charge the battery and to not use such that slipped half a bar more than 1 day, the battery is low too .... haizz temporary use so alone. (The battery is fully charged the previous evening until shooting)",2.0,negatif,fully charge battery not use slipped half bar day battery low haizz temporary use alone battery fully charged previous evening shooting
"I have info, order 8 kinds tp being sent rockets all !!! I want to retur gmn how?",1.0,negatif,info order kinds sent rockets want retur gmn
I love the color duration tangal could even eat foam,5.0,positif,love color duration tangal could even eat foam
Long hijab nerawang.Tapi anyway but the material still good for that price ??,2.0,negatif,long hijab nerawang anyway material still good price
Item received is damaged. It doesn't have free hard wax as it is indicated on the description of the packaged will never order again.,1.0,negatif,item received damaged free hard wax indicated description packaged never order
Good product quality Good value for money Fast delivery,4.0,positif,good product quality good value money fast delivery
"The pots were small than expected. Recommend that the seller put the pot dimension on description of items. There were also cracks on the holes indicating that seller only put holes on them. One pot does not have a hole on it.   Overall, items are in good condition.  ",5.0,positif,pots small expected recommend seller put pot dimension description items also cracks holes indicating seller put holes one pot not hole overall items good condition
Sy disappointed. Sy new users. Katany new law interchangeable frequent users choose oil free products sania tp sy hadiahny not reply dtng dateng cumn everwhite sy ny j Brang who buy,1.0,negatif,disappointed new users katany new law interchangeable frequent users choose oil free products sania hadiahny not reply dtng dateng cumn everwhite ny brang buy
3 times to buy with this seller. Thank God BRG Mandailing under a good and fast. Tq,5.0,positif,times buy seller thank god barang mandailing good fast tq
Awesome speed of the ship awesome awesome quality merchandise value CP,4.0,positif,awesome speed ship awesome awesome quality merchandise value cp
customer need to use measurement belt like seller or else you need to borrow their measurement belt for confirm your measurement.,1.0,negatif,customer need use measurement belt like seller else need borrow measurement belt confirm measurement
"Recommended ibuuuuuuukkkkkk really yes ibuk oath, kece really, I sukaaaaaakkk, trimakasiiiiiiii ????????????????????????????????????????????????????????????????????????????????????  ????????????????????????????????????????????????????????????????????????????????????  ????????????????????????????????",4.0,positif,recommended ibuk really yes ibuk oath kece really sukak trimakasi
The product quality is excellent. The original product. The product price is very good.,4.0,positif,product quality excellent original product product price good
The color does not suit rather dull gambar.birunya not bright. The influx of so navy blue,1.0,negatif,color not suit rather dull gambar biru not bright influx navy blue
"Sm heck goods such as in gmbr, tp Syng in different writings and kegunaan.SAMBILOTO kasiat usability: ease the symptoms of diabetes Then who CURBAMIN KAROMAH kasiat: maintaining the health of cancer patients pd. Gmn confused the heck ,, q, in keterang Hp obtny kok sm in different containers bgtttttttttt",2.0,negatif,sm heck goods gmbr syng different writings guna sambiloto kasiat usability ease symptoms diabetes curbamin karomah kasiat maintaining health cancer patients pd gmn confused heck terang hp obtny kok sm different containers banget
"satisfied with the product but it has some crack on the cover. and the seller always slow response, overall okey",2.0,negatif,satisfied product crack cover seller always slow response overall okey
"Bad delivery, which sent other equally distinguished in an image while willing to sell again Future packaging long time, please be more careful and more fast response at the chat buyers!",1.0,negatif,bad delivery sent equally distinguished image willing sell future packaging long time please careful fast response chat buyers
Smell it Wash twice Soak the fabric softener to half-day sun for 2 days the smell was still intact.,1.0,negatif,smell wash twice soak fabric softener half day sun days smell still intact
Delivery by J&T was late,4.0,positif,delivery late
Products have been accurate but it's very slow to send ems. It must be more sensitive than this I shop soon Or transport problems as well.,4.0,positif,products accurate slow send ems must sensitive shop soon transport problems well
"Underpants very itchy and painful, to replace wear cloth Coton",1.0,negatif,underpants itchy painful replace wear cloth coton
"Product has been successfully trial, not sure whether it is genuine or not, to see my side. Use a dry cloth is also very good spinning very wet. Handle the timer is not strong enough yet to call back.",1.0,negatif,product successfully trial not sure whether genuine not see side use dry cloth also good spinning wet handle timer not strong enough yet call back
Good quality but it's hood so small use to me,2.0,negatif,good quality hood small use
Excellent product quality excellent product price excellent product quality is very good delivery speed is very good seller's response,5.0,positif,excellent product quality excellent product price excellent product quality good delivery speed good seller response
"The order came two piece Flash sale is worth a lot. But unfortunately the press box Size large, but not paid. Out of the box before ?? bought 2 tickets worth so much money. Leaves a little to think that the transport service is very good very fast delivery will use again.",4.0,positif,order came two piece flash sale worth lot unfortunately press box size large not paid box bought tickets worth much money leaves little think transport service good fast delivery use
"Though dropship, but still written the name of the sender. Close ga Rapet. Dirty goods, fitting in open rich never been used before",1.0,negatif,though dropship still written name sender close tidak rapet dirty goods fitting open rich never used
The quality of the sounds is not really good unlike what I have before .... ,1.0,negatif,quality sounds not really good unlike
Penghantarn nice post reply rate chic n n brg smpai enough,4.0,positif,penghantarn nice post reply rate chic barang smpai enough
It would be better if the socks delivered have some choices of design,2.0,negatif,would better socks delivered choices design
Defective products No checks before delivery to the customer.,2.0,negatif,defective products no checks delivery customer
Who sent not to order.,2.0,negatif,sent not order
Good product quality is also good packaging is also good delivery,4.0,positif,good product quality also good packaging also good delivery
"Bnget until the goods have been appropriate, mksih yes",5.0,positif,bnget goods appropriate mksih yes
Its products are good and functioning properly. Thank BricaBarisom,5.0,positif,products good functioning properly thank bricabarisom
YET TO .. ??OR IS NOT UP? ONCE MY ORDER WITH CONTROL TP Keret TRAIN CONTROL WHICH ONLY UNTIL,1.0,negatif,yet not order control ret train control
Awesome speed of the ship awesome awesome quality goods CP value awesome service,5.0,positif,awesome speed ship awesome awesome quality goods cp value awesome service
"Ok delivery can last 2 days. Ori products, reasonable price ????",5.0,positif,delivery last days ori products reasonable price
pembelian ke sekian.. masih enak,5.0,positif,beli sekian enak
Thanks for goods already landed safely,4.0,positif,thanks goods already landed safely
Awesome speed of the ship awesome awesome quality merchandise value CP,4.0,positif,awesome speed ship awesome awesome quality merchandise value cp
nice amd absorbent,4.0,positif,nice amd absorbent
Pack the product pretty much affordable.,5.0,positif,pack product pretty much affordable
"The hour menitannya kak ga street, next time if you want to send in dlu try yah kak",1.0,negatif,hour menit kak tidak street next time want send dlu try yah kak
Somewhat disappointed his'm blue in shipping gold but already say if ga chat peenjual response tp his first mace Tp pretty lah goods thanks,2.0,negatif,somewhat disappointed blue shipping gold already say tidak chat peenjual response first mace pretty lah goods thanks
The tube sleeve to struggle out y'all sir. I put ?k on foot but also wide attention. Zide M and know ?????? poor product packaging. Calico ball stick in pockets. Torn corner. Austria no labels at all. Bad smell.,1.0,negatif,tube sleeve struggle sir put foot also wide attention zide know poor product packaging calico ball stick pockets torn corner austria no labels bad smell
"It's good. My little sister likes it so much. She loves the color. It's neat and we'll package. So far, we don't have any trouble with the watch. Will order again",4.0,positif,good little sister likes much loves color neat package far trouble watch order
Thanks ... Packing neatly ... Seller friendly .... Thanks,4.0,positif,thanks packing neatly seller friendly thanks
The response was not good sellers,2.0,negatif,response not good sellers
Awesome speed of the ship awesome awesome quality goods CP value awesome service,4.0,positif,awesome speed ship awesome awesome quality goods cp value awesome service
Good product quality Good value for money Good product quality Good value for money Good value for money Good product quality Good product quality Good value for money Good value for money Good value for money Good value for money Good value for money Good value for money Good value for money,4.0,positif,good product quality good value money good product quality good value money good value money good product quality good product quality good value money good value money good value money good value money good value money good value money good value money
Sounds a lot better than this recommended to buy JBL sound much better.,2.0,negatif,sounds lot better recommended buy jbl sound much better
Poor product quality,1.0,negatif,poor product quality
"Goods in accordance with the price. This price of 12k, a small pillow, not neat stitching, the fabric rough so there putih2 mouth stuck on all sides, and kerassss dongggg. If you want to buy a nice reply pillows that cost over 50k.",1.0,negatif,goods accordance price price small pillow not neat stitching fabric rough putih mouth stuck sides keras dong want buy nice reply pillows cost
"But it's been a problem that the transport delay. 1pack has been leaking oil, but would not return because they have to. I took it to work",2.0,negatif,problem transport delay pack leaking oil would not return took work
Good stuff,5.0,positif,good stuff
Work perfectly! And fast response too. Highly recommended,5.0,positif,work perfectly fast response highly recommended
Product quality standards,2.0,negatif,product quality standards
Cool cool cool satisfied deh same blanket maison OTG elmesa ????????????,5.0,positif,cool cool cool satisfied deh blanket maison otg elmesa
Thanks sis package already nyampe paketan ... Costamerku like .... Good luck terussss ... ????????,5.0,positif,thanks sis package already nyampe paket costamerku like good luck terus
"smaller size, whereas sama2 36, good stuff, but the delivery lamaaaaa bgt, until 6 hariii",2.0,negatif,smaller size whereas sama good stuff delivery lama banget hari
highly recommended. Good packaging with bubble wrap and cardboard to prevent scratches. Well done!,5.0,positif,highly recommended good packaging bubble wrap cardboard prevent scratches well done
" The product quality is not good. + + Speed ??of delivery is good. If you can give a value of 0 I love the value 0 deh. Oath of bad quality of his ingredients, he said all this size leggings Adek rich mine and products do not original. Weve Yasudahlah price can not dibohongin.",1.0,negatif,product quality not good speed delivery good give value love value deh oath bad quality ingredients said size leggings adek rich mine products not original weve yasudahlah price not dibohongin
valorem. long-lived hope ..,2.0,negatif,valorem long lived hope
Product has been successfully In one correct order. New products are tailoring good quality and affordable. For both men and women,5.0,positif,product successfully one correct order new products tailoring good quality affordable men women
Awesome speed of the ship awesome awesome quality merchandise value CP,5.0,positif,awesome speed ship awesome awesome quality merchandise value cp
"original goods, works fine, very fast delivery, packaging neat and secure",4.0,positif,original goods works fine fast delivery packaging neat secure
Product quality standards,2.0,negatif,product quality standards
"I want this product, But, I didn't  receive the item.",1.0,negatif,want product receive item
NO ULIT I order SHOP !! NATO ?? WRONG ITEM !! YUNG Have SAKEN ?? ARE YOU DUN THE PICTURE OF SELLING !! NLA ???? BINABASA NOT WHAT TO QUALITY AND WHICH WRITTEN IN REMARKS !! ???? SAYANG LNG YUNG MONEY KO !! ?? PAYS mE BUT TRUE FALSE YUNG GIVE YOU !! ??????,1.0,negatif,no ulit order shop nato wrong item yung saken dun picture selling nla binabasa not quality written remarks sayang lng yung money ko pays true false yung give
"Yaaa breadth, not slim, but good gapapa SSSA nyaa",2.0,negatif,breadth not slim good gapapa sa nyaa
My order for 7 items but i do not received full stock. Still has 2pcs not send to me...,2.0,negatif,order items not received full stock still pcs not send
"fast delivery, unopened wish to order .... thank you",2.0,negatif,fast delivery unopened wish order thank
Good stuff. Packaging fast.,4.0,positif,good stuff packaging fast
Ny ask who is knp smp in tmpt mlh in love ny yg g collogen according bgt,1.0,negatif,ny ask knp smp tmpt mlh love ny collogen according banget
A great comfort,4.0,positif,great comfort
Delivery time. 2 pcs his UHT Anlene not sent.,2.0,negatif,delivery time pcs uht anlene not sent
Awesome awesome speed of the ship's delivery speed fabulous quality of goods,4.0,positif,awesome awesome speed ship delivery speed fabulous quality goods
Captain shield. Cool,5.0,positif,captain shield cool
Poor product quality,1.0,negatif,poor product quality
Adem soft recomended ??,4.0,positif,adem soft recomended
Received it today. It is very very very fast delivery. But I haven't use can't comment much.,5.0,positif,received today fast delivery use comment much
Corrupted. Scam.,1.0,negatif,corrupted scam
His delivery is very fast and thanks are given bonus 1 Wrap sunflower seed .. good luck is always on and the seed grows all ..,5.0,positif,delivery fast thanks given bonus wrap sunflower seed good luck always seed grows
Udah langganan beli disini. Selalu puas dgn produknya & harga bersaing. Thanks,5.0,positif,langgan beli sini selalu puas produk harga saing thanks
"Ionela about 1 did not have a reply at all, may well be less healthy sales,",1.0,negatif,ionela not reply may well less healthy sales
"Loved it cepet delivery, goods are good, if you want pesen langsungsung 32G wrote again when the price of this hour ... ????????????",4.0,positif,loved cepet delivery goods good want sen langsungsung wrote price hour
Excellent product quality,4.0,positif,excellent product quality
Good product quality Good value for money Fast delivery Excellent service by seller,4.0,positif,good product quality good value money fast delivery excellent service seller
"Alhamdulillah packet has been received. Its packaging passable tidy but only less secure krena sdkt bubble wrapnya not thick. Buy this Casan time buy one get one, dear tp create two chargeran gabisa cas. Sorry I changed starred ??",1.0,negatif,alhamdulillah packet received packaging passable tidy less secure krena sdkt bubble wrapnya not thick buy cas time buy one get one dear create two chargeran gabisa cas sorry changed starred
"Always satisfied shopping here, Alhamdulillah already want one year subscription of shopping here, not ever disappointed at the product ??",5.0,positif,always satisfied shopping alhamdulillah already want one year subscription shopping not ever disappointed product
Ny small clothes are not in accordance * sizeny,1.0,negatif,ny small clothes not accordance sizeny
Fabric dep. Prompt delivery. Note the price. Chu shop cute. Beautiful product.,4.0,positif,fabric dep prompt delivery note price chu shop cute beautiful product
"Peace be upon you, and Allah mercy and blessings Alhamdulillah goods already acceptability sya well New Sorry confirmation",5.0,positif,peace upon allah mercy blessings alhamdulillah goods already acceptability sya well new sorry confirmation
Take 9 days to reach my mail box. Oppo R11 can be  fix into this phone case. Satisfied with this item.,4.0,positif,take days reach mail box oppo fix phone case satisfied item
"Old packaging because of china. Minta sent even sent a yellow and white colors - """,2.0,negatif,old packaging china minta sent even sent yellow white colors
"Order other, to the others. X updates stock, if we want to design xde Accordingly seller asked what previous nk exchange design. Naseb good design in Anta is pretty, too. TQ Apepon seller. Sy buy ye.",2.0,negatif,order others updates stock want design xde accordingly seller asked previous nk exchange design naseb good design anta pretty tq apepon seller buy ye
Very poor response pngemasan chat her long and distinguished items fit together Gak in the description and drawings Gambr was just drenched Sngat disappointed me sudh konfirmas order cancellation request and said the seller also Iyah I'll still be sent confirmation but ehh not sebrpa kejjuran hrga Although it uta,1.0,negatif,poor response pngemasan chat long distinguished items fit together tidak description drawings gambr drenched sngat disappointed sudh konfirmas order cancellation request said seller also iyah still sent confirmation ehh not sebrpa kejjuran hrga although uta
" Good value for money Fast delivery Excellent service by seller but i cannot wearing all the time because alergic for this iterm,sorry,btw service is good",2.0,negatif,good value money fast delivery excellent service seller cannot wearing time alergic iterm sorry btw service good
"Bangettt long delivery, the product is not delivered, disappointed deh",1.0,negatif,banget long delivery product not delivered disappointed deh
Very accommodating seller Well-packaged,5.0,positif,accommodating seller well packaged
" Product quality standards., Delivery fast enough",2.0,negatif,product quality standards delivery fast enough
"Housekeeping nearly a month, as soon as the goods arrive even less, order two, sent one",1.0,negatif,housekeeping nearly month soon goods arrive even less order two sent one
"Bought and recommend to friends 5 units, used ok",4.0,positif,bought recommend friends units used
Spigen logo is missing.. this fake product..,1.0,negatif,spigen logo missing fake product
This is not mask face . At first I thought it was a pieces of handcrafted. ,2.0,negatif,not mask face first thought pieces handcrafted
"Packs of late delivery of some goods, but overall is very good value for this price it 5 stars if it had a chance to come back to this or any other subsidized goods in the shop again thinking.",4.0,positif,packs late delivery goods overall good value price stars chance come back subsidized goods shop thinking
The product quality is not good,1.0,negatif,product quality not good
Good product quality,4.0,positif,good product quality
Total not to order,1.0,negatif,total not order
"Snack ter-enakkkkkk
Pelayanan super cepat",5.0,positif,snack ter enak layan super cepat
Wrong item received Will not order again!!! I'm very disappointed!! Mali yung size!!!!,1.0,negatif,wrong item received not order disappointed mal yung size
"Ask for size 38 shipped 37, UDH so long next to another shoe fuck lah! Smallness not kepake",1.0,negatif,ask size shipped long next another shoe fuck lah smallness not kepake
Very good value Product quality is very good Speed ??of delivery is very good. Very good service from the store. The service is great from the carrier.,5.0,positif,good value product quality good speed delivery good good service store service great carrier
"Kirain slippery fish meatballs so, because I'm hoping to disup. But even so weird starchy.",2.0,negatif,kirain slippery fish meatballs hoping sup even weird starchy
Th? sp bt quality. Falcon k is only the attitude of the shop. Both are wrong nh yourself and shop when discussing solutions k th? enthusiastic shop. Winding refused. Mistaken delivery form still controversial mortar pestle,1.0,negatif,th sp bt quality falcon attitude shop wrong nh shop discussing solutions th enthusiastic shop winding refused mistaken delivery form still controversial mortar pestle
" Excellent product quality excellent product price is very good delivery speed is very good seller ,,, response RECOMMENDED SELLER",5.0,positif,excellent product quality excellent product price good delivery speed good seller response recommended seller
alhamdulillah mantabbbbbbbb,5.0,positif,alhamdulillah mantab
"the item is received, the process is quite slow ... 1st time buy with seller. before buying hospitable, last bought'm wondering shipping x reply. xde goods postage bubble wrap directly. hope the product effective.",2.0,negatif,item received process quite slow st time buy seller buying hospitable last bought wondering shipping reply xde goods postage bubble wrap directly hope product effective
Very bad packaging ??  Don't deserve a single star actually.,1.0,negatif,bad packaging deserve single star actually
Scissors mini love love .... small vahjsnnsnsbzvzgakkVvbzk,2.0,negatif,scissors mini love love small vahjsnnsnsbzvzgakkvvbzk
"The product quality is good, the original product, the price of the product is good, delivery speed is good, the response good seller, discounts are very big, bigger discount, the price is cheaper, thank God fitting to the promo price, so cheaper, three days to the destination address, thanks shopeeeee thanks shopee indo",2.0,negatif,product quality good original product price product good delivery speed good response good seller discounts big bigger discount price cheaper thank god fitting promo price cheaper three days destination address thanks shope thanks shopee indo
Excellent quality Very accommodating seller Well-packaged  Will order again,4.0,positif,excellent quality accommodating seller well packaged order
ORI kecapnya loh Although this reply pas abis At the same confirmation seller Thanks,4.0,positif,ori kecap loh although reply pas abis confirmation seller thanks
Product quality is poor,1.0,negatif,product quality poor
Puas sekali dengan bawang merah gorengnya. renyah n wangi. dapat bonus abon juga. pengiriman juga cepat. makasih seller.,5.0,positif,puas sekali bawang merah goreng renyah wangi bonus abon kirim cepat makasih seller
Nice material,4.0,positif,nice material
Loved it rich and powerful according to the image of goods coming,4.0,positif,loved rich powerful according image goods coming
"Folded, wrinkled cover but I love that the seller gave the original posters included in the magazine.",2.0,negatif,folded wrinkled cover love seller gave original posters included magazine
"Kren products mantaap, there gk neat pketan kndala nice uda in his 2nd try deh pokoknya.gk steady loss of order ni product. Trima ksih yaa .. ????",5.0,positif,kren products mantaap tidak neat pketan kndala nice uda nd try deh pokok tidak steady loss order ni product trima ksih yaa
Excellent product quality,5.0,positif,excellent product quality
"If there is a value of one star. AKN then I give, pngrman the old. Brang fake. Madul capital stitches. Hallo buyer. Hopefully, you can choose a product with a good and true. Smart buyers yak. Can dm if you want brtnya",1.0,negatif,value one star akn give pngrman old brang fake madul capital stitches hallo buyer hopefully choose product good true smart buyers yak dm want brtnya
"If I can give not even one star, I would have given. But the system doesn't allow it. I nearly going to meet the expiry date for the banana and butter cake which give me 6 days to finish by myself. Do not buy from this seller at all who deliver very very slow. Very poor service.",1.0,negatif,give not even one star would given system allow nearly going meet expiry date banana butter cake give days finish not buy seller deliver slow poor service
Excellent product quality well priced original products okay,4.0,positif,excellent product quality well priced original products okay
"Neatly packed, goods ok, in accordance with pesanan.dapat believable and satisfying",4.0,positif,neatly packed goods accordance pesan believable satisfying
Excellent product quality product packaging is very beautiful and certainly,5.0,positif,excellent product quality product packaging beautiful certainly
Good terimakasihh slippers nyaa subscription at this store may mandate,5.0,positif,good terimakasihh slippers nyaa subscription store may mandate
"Sendal directly used, the legs comfortable fit dihati price, quick delivery is also good response, so have a shop subscription hehehe ya buy these sandals again for sale again who knows",5.0,positif,sendal directly used legs comfortable fit hati price quick delivery also good response shop subscription hehehe buy sandals sale knows
Size dont tally. Always choose a one up. ,2.0,negatif,size tally always choose one
Lacking yong order ... I have not yet rreply the seller..nagbayad me correctly tas ung iddelver than me ... oh not to order it again !!! ne I remind you that all the orders I 6pcs bag .. pls check nyo na idouble the order before you ship ... nkaka disappointment ...,1.0,negatif,lacking yong order not yet rreply seller nagbayad correctly tas ung iddelver not order ne remind orders pcs bag pls check nyo na idouble order ship nkaka disappointment
Kemrn'm feeling blue WRN WRN being sent white ??,1.0,negatif,kemrn feeling blue wrn wrn sent white
"Her gorgeous kaftan skali puaassss kak mksih well, I'll subscription ??",5.0,positif,gorgeous kaftan skali puaas kak mksih well subscription
Her know will put many single 9/9 wave but put yourself are 8 single and was recruited into this single private 10-11-12 paid trc but 12 new shops over to the carrier. Hnay new and garnered her! Shop answered quite slow! Unused mask but it is not much variety. Quite disappointed about the delivery!,2.0,negatif,know put many single wave put single recruited single private paid trc new shops carrier hnay new garnered shop answered quite slow unused mask not much variety quite disappointed delivery
